segment_id,entity_id,entity_name,question_no,question_type,run_no,provider,measured_at,mentioned,matched_alias,first_index,mention_rank,cited,via_domain,matched_source_field,matched_source_url,answer_excerpt,review_status,review_note
kr-ko-seoul-wedding-venues,wv-seoul-001,라이트홀 명동,1,recommendation,1,mock,2026-07-19T09:00:00+09:00,true,라이트홀 명동,0,1,true,light-hall.example.kr,homepage,https://light-hall.example.kr,라이트홀 명동과 그랜드가든 강남은 주차와 하객 동선 기준에서 자주 비교됩니다.,pending,
kr-ko-seoul-wedding-venues,wv-seoul-002,그랜드가든 강남,1,recommendation,1,mock,2026-07-19T09:00:00+09:00,true,그랜드가든 강남,9,2,false,,,,라이트홀 명동과 그랜드가든 강남은 주차와 하객 동선 기준에서 자주 비교됩니다.,pending,
kr-ko-seoul-wedding-venues,wv-seoul-003,스몰베뉴 성수,1,recommendation,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,라이트홀 명동과 그랜드가든 강남은 주차와 하객 동선 기준에서 자주 비교됩니다.,pending,
kr-ko-seoul-wedding-venues,wv-seoul-001,라이트홀 명동,2,recommendation,1,mock,2026-07-19T09:00:00+09:00,true,명동 라이트홀,0,1,true,light-hall.example.kr,homepage,https://light-hall.example.kr,명동 라이트홀은 접근성이 좋고 스몰베뉴 성수는 소규모 예식에 맞습니다.,pending,
kr-ko-seoul-wedding-venues,wv-seoul-002,그랜드가든 강남,2,recommendation,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,명동 라이트홀은 접근성이 좋고 스몰베뉴 성수는 소규모 예식에 맞습니다.,pending,
kr-ko-seoul-wedding-venues,wv-seoul-003,스몰베뉴 성수,2,recommendation,1,mock,2026-07-19T09:00:00+09:00,true,스몰베뉴 성수,17,2,false,,,,명동 라이트홀은 접근성이 좋고 스몰베뉴 성수는 소규모 예식에 맞습니다.,pending,
kr-ko-seoul-wedding-venues,wv-seoul-001,라이트홀 명동,3,problem,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,"서울 웨딩홀은 주차, 식대, 보증인원, 하객 동선을 확인해야 합니다.",pending,
kr-ko-seoul-wedding-venues,wv-seoul-002,그랜드가든 강남,3,problem,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,"서울 웨딩홀은 주차, 식대, 보증인원, 하객 동선을 확인해야 합니다.",pending,
kr-ko-seoul-wedding-venues,wv-seoul-003,스몰베뉴 성수,3,problem,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,"서울 웨딩홀은 주차, 식대, 보증인원, 하객 동선을 확인해야 합니다.",pending,
kr-ko-seoul-wedding-venues,wv-seoul-001,라이트홀 명동,4,problem,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,보증인원과 식대 비교에는 공식 사이트와 상담 페이지 확인이 필요합니다. 그랜드가든 강남 사례를 참고할 수 있습니다.,pending,
kr-ko-seoul-wedding-venues,wv-seoul-002,그랜드가든 강남,4,problem,1,mock,2026-07-19T09:00:00+09:00,true,그랜드가든 강남,40,1,true,grand-garden.example.kr,homepage,https://grand-garden.example.kr,보증인원과 식대 비교에는 공식 사이트와 상담 페이지 확인이 필요합니다. 그랜드가든 강남 사례를 참고할 수 있습니다.,pending,
kr-ko-seoul-wedding-venues,wv-seoul-003,스몰베뉴 성수,4,problem,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,보증인원과 식대 비교에는 공식 사이트와 상담 페이지 확인이 필요합니다. 그랜드가든 강남 사례를 참고할 수 있습니다.,pending,
kr-ko-seoul-wedding-venues,wv-seoul-001,라이트홀 명동,5,trigger,1,mock,2026-07-19T09:00:00+09:00,true,라이트홀 명동,8,1,true,light-hall.example.kr,homepage,https://light-hall.example.kr,"부모님 동선은 라이트홀 명동, 그랜드가든 강남처럼 교통과 주차 안내가 공개된 곳을 확인하세요.",pending,
kr-ko-seoul-wedding-venues,wv-seoul-002,그랜드가든 강남,5,trigger,1,mock,2026-07-19T09:00:00+09:00,true,그랜드가든 강남,17,2,true,grand-garden.example.kr,homepage,https://grand-garden.example.kr,"부모님 동선은 라이트홀 명동, 그랜드가든 강남처럼 교통과 주차 안내가 공개된 곳을 확인하세요.",pending,
kr-ko-seoul-wedding-venues,wv-seoul-003,스몰베뉴 성수,5,trigger,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,"부모님 동선은 라이트홀 명동, 그랜드가든 강남처럼 교통과 주차 안내가 공개된 곳을 확인하세요.",pending,
kr-ko-seoul-wedding-venues,wv-seoul-001,라이트홀 명동,6,trigger,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,소규모 예식은 스몰베뉴 성수처럼 규모와 보증인원을 명확히 적은 장소가 비교에 쉽습니다.,pending,
kr-ko-seoul-wedding-venues,wv-seoul-002,그랜드가든 강남,6,trigger,1,mock,2026-07-19T09:00:00+09:00,false,,,,false,,,,소규모 예식은 스몰베뉴 성수처럼 규모와 보증인원을 명확히 적은 장소가 비교에 쉽습니다.,pending,
kr-ko-seoul-wedding-venues,wv-seoul-003,스몰베뉴 성수,6,trigger,1,mock,2026-07-19T09:00:00+09:00,true,스몰베뉴 성수,8,1,true,small-venue.example.kr,homepage,https://small-venue.example.kr,소규모 예식은 스몰베뉴 성수처럼 규모와 보증인원을 명확히 적은 장소가 비교에 쉽습니다.,pending,
